date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:19:03	32851/32851	---MCZ	200	added ('OK')	text/html	etag:W/%2256122b6f-8053%22	http://lambert.kwst.net/site/index.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/index.html	(from )
02:19:03	3786/3786	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sun,%2020%20Mar%202022%2020:19:01%20GMT	http://lambert.kwst.net/robots.txt		(from )
02:19:03	1086/1086	---M--	200	added ('OK')	text/css	etag:%22551d128c-43e%22	http://lambert.kwst.net/site/css/reset.css	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/css/reset.css	(from http://lambert.kwst.net/site/index.html)
02:19:04	64192/64192	---MCZ	200	added ('OK')	text/css	etag:W/%2260bfb0ea-fac0%22	http://lambert.kwst.net/site/css/plugins.css	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/css/plugins.css	(from http://lambert.kwst.net/site/index.html)
02:19:05	51590/51590	---MCZ	200	added ('OK')	text/css	etag:W/%22613f3513-c986%22	http://lambert.kwst.net/site/css/style.css	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/css/style.css	(from http://lambert.kwst.net/site/index.html)
02:19:05	2229/2229	---MCZ	200	added ('OK')	text/css	etag:W/%2260bfb0ea-8b5%22	http://lambert.kwst.net/site/css/color.css	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/css/color.css	(from http://lambert.kwst.net/site/index.html)
02:19:05	318/318	---M--	200	added ('OK')	image/x-icon	etag:%22541fa3a4-13e%22	http://lambert.kwst.net/site/images/favicon.ico	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/favicon.ico	(from http://lambert.kwst.net/site/index.html)
02:19:05	1881/1881	---M--	200	added ('OK')	image/png	etag:%22553f4f7e-759%22	http://lambert.kwst.net/site/images/loader.png	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/loader.png	(from http://lambert.kwst.net/site/index.html)
02:19:06	4134/4134	---M--	200	added ('OK')	image/png	etag:%22554b251e-1026%22	http://lambert.kwst.net/site/images/logo.png	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/logo.png	(from http://lambert.kwst.net/site/index.html)
02:19:06	9356/9356	---M--	200	added ('OK')	image/png	etag:%22554b2592-248c%22	http://lambert.kwst.net/site/images/logo2.png	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/logo2.png	(from http://lambert.kwst.net/site/index.html)
02:19:06	34800/34800	---MCZ	200	added ('OK')	text/html	etag:W/%2255621249-87f0%22	http://lambert.kwst.net/site/menu.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/menu.html	(from http://lambert.kwst.net/site/index.html)
02:19:07	21931/21931	---MCZ	200	added ('OK')	text/html	etag:W/%22602bf660-55ab%22	http://lambert.kwst.net/site/gallery.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/gallery.html	(from http://lambert.kwst.net/site/index.html)
02:19:07	21161/21161	---MCZ	200	added ('OK')	text/html	etag:W/%2260bfb10f-52a9%22	http://lambert.kwst.net/site/reservation.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/reservation.html	(from http://lambert.kwst.net/site/index.html)
02:19:07	16943/16943	---MCZ	200	added ('OK')	text/html	etag:W/%2260bfb1b5-422f%22	http://lambert.kwst.net/site/shop.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/shop.html	(from http://lambert.kwst.net/site/index.html)
02:19:08	14811/14811	---MCZ	200	added ('OK')	text/html	etag:W/%225b8f9f10-39db%22	http://lambert.kwst.net/site/contact.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/contact.html	(from http://lambert.kwst.net/site/index.html)
02:19:08	34227/34227	---MCZ	200	added ('OK')	text/html	etag:W/%225562123d-85b3%22	http://lambert.kwst.net/site/blog.html	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/blog.html	(from http://lambert.kwst.net/site/index.html)
02:19:52	271578/271578	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22af-424da%22	http://lambert.kwst.net/site/images/bg/28.jpg	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/bg/28.jpg	(from http://lambert.kwst.net/site/index.html)
02:20:13	394318/394318	---M--	200	added ('OK')	image/jpeg	etag:%225d2c22b3-6044e%22	http://lambert.kwst.net/site/images/bg/8.jpg	C:/Users/Acer/Desktop/resturant/lambert.kwst.net/site/images/bg/8.jpg	(from http://lambert.kwst.net/site/index.html)
